,rank,names,nationality,gender,age_category,time,race
1161,1162,Virginia TRASCASTRO ALCAIDE,Spain,Women,45-49,12:21:08,OCC
1162,1163,Martin BIELA,Germany,Men,50-54,12:21:12,OCC
1163,1164,Helene LENOURY,France,Women,35-39,12:21:26,OCC
1164,1165,Clement PEYRACHE,France,Men,40-44,12:21:43,OCC
1165,1166,Jérémy VERGER,France,Men,35-39,12:23:14,OCC
1166,1167,Benjamin MORATI,France,Men,35-39,12:23:47,OCC
1167,1167,Franck LASCOMBES,France,Men,65-69,12:23:47,OCC
1168,1169,Pascal Nicolas CHABOCHE,France,Men,60-64,12:24:33,OCC
1169,1170,Olivier DEVILLERS,Canada,Men,55-59,12:25:12,OCC
1170,1171,Sebastien DOUDET,France,Men,45-49,12:25:15,OCC
1171,1172,Gabriel PIOTTO,Argentina,Men,60-64,12:25:59,OCC
1172,1173,Jean-Philippe VIGUIE,France,Men,60-64,12:26:21,OCC
1173,1174,Stefan DURST,Germany,Men,20-34,12:26:57,OCC
1174,1175,Ruben LOPEZ DE QUERO,Spain,Men,45-49,12:27:13,OCC
1175,1176,Ying SUN,China,Men,40-44,12:28:09,OCC
1176,1177,Zheng CHANG,China,Men,55-59,12:28:10,OCC
1177,1178,Cyrielle STEINER,France,Women,20-34,12:29:53,OCC
1178,1179,Tianyi MA,China,Men,20-34,12:30:21,OCC
1179,1180,Wesley JOHNSON,United States of america,Men,40-44,12:30:40,OCC
1180,1181,Katia AGURTO,Nicaragua,Women,35-39,12:32:40,OCC
1181,1182,Huan LIU,China,Women,45-49,12:32:43,OCC
1182,1183,Cyril PELLEVAT,France,Men,40-44,12:33:23,OCC
1183,1184,Paula Beatriz GONZALEZ MADRID,Chile,Women,40-44,12:33:49,OCC
1184,1185,Daniel JUMP,United States of america,Men,45-49,12:33:59,OCC
1185,1186,Kinza BARNEY,Canada,Women,45-49,12:34:19,OCC
1186,1187,Johnny GAYOT,France,Men,35-39,12:35:06,OCC
1187,1188,Fidel SÁNCHEZ RIAÑO,Spain,Men,65-69,12:35:32,OCC
1188,1189,Eric DOUVILLE,France,Men,55-59,12:36:26,OCC
1189,1190,Isabela ROSARIO,Portugal,Women,45-49,12:36:57,OCC
1190,1191,Aurelie MARION,France,Women,35-39,12:37:21,OCC
1191,1192,Romain MARION,France,Men,35-39,12:37:23,OCC
1192,1192,David CANO,Mexico,Men,20-34,12:37:23,OCC
1193,1194,Thomas FEILLET,France,Men,35-39,12:37:28,OCC
1194,1195,Jason COX,United States of america,Men,40-44,12:37:31,OCC
1195,1196,Serge MARTIN,France,Men,50-54,12:37:33,OCC
1196,1197,Jiahui CHEN,China,Men,40-44,12:38:05,OCC
1197,1197,Valérian THIBERT,France,Men,20-34,12:38:05,OCC
1198,1199,Phongphet SIRITHANACHAI,Thailand,Men,35-39,12:38:41,OCC
1199,1200,Antonio DE LOS REYES GARCIA CANDEL,Spain,Men,55-59,12:38:54,OCC
1200,1201,Li Li CHAN,"Hong Kong, China",Women,40-44,12:39:09,OCC
1201,1201,Antonio Luis FERNANDEZ DE LOS REYES,Spain,Men,50-54,12:39:09,OCC
1202,1203,Olivier RADIUS,France,Men,35-39,12:39:19,OCC
1203,1204,Jenny SHAN,France,Women,55-59,12:39:26,OCC
1204,1205,Janka JAKABOS ANDERSEN,Hungary,Women,45-49,12:39:48,OCC
1205,1206,Wenjing YANG,China,Women,35-39,12:39:52,OCC
1206,1207,Kenneth WONG,"Hong Kong, China",Men,50-54,12:40:29,OCC
1207,1207,Ulisses CABRAL SAUEIA,Paraguay,Men,45-49,12:40:29,OCC
1208,1209,Kirsi MONTONEN,Finland,Women,60-64,12:41:06,OCC
1209,1210,George GARNER,United States of america,Men,35-39,12:41:19,OCC
1210,1211,Maria Amalia BOERIS,Argentina,Women,55-59,12:42:09,OCC
1211,1212,Leonardo BARBERA,Argentina,Men,45-49,12:42:13,OCC
1212,1213,Hui NI,United States of america,Women,55-59,12:42:15,OCC
1213,1214,Iñaki MARTINEZ OLALKIAGA,Spain,Men,50-54,12:42:21,OCC
1214,1215,Brett WEISSER,United States of america,Men,55-59,12:43:34,OCC
1215,1216,Xin WANG,China,Men,40-44,12:43:51,OCC
1216,1217,Viviana LILLO,Chile,Women,50-54,12:43:57,OCC
1217,1218,Magali GOURAUD,France,Women,50-54,12:44:33,OCC
1218,1219,Nobuko NAKAJIMA,Japan,Women,60-64,12:44:45,OCC
1219,1220,Zübeyde SIVRISERVI,Türkiye,Women,50-54,12:45:07,OCC
1220,1221,Kin Mui KWONG,"Hong Kong, China",Women,50-54,12:45:16,OCC
1221,1222,Juliette TOUTAIN,France,Women,50-54,12:45:21,OCC
1222,1223,Wittaya WARUNCHAICHANA,Thailand,Men,45-49,12:45:47,OCC
1223,1224,Antoine GALEWSKI,France,Men,45-49,12:46:01,OCC
1224,1225,Serge PÉTRIGNET,France,Men,55-59,12:46:09,OCC
1225,1226,Anonymous,Mexico,Women,55-59,12:47:30,OCC
1226,1227,Florian BOULOGNE,France,Men,35-39,12:48:00,OCC
1227,1228,Troy FADDIS,United States of america,Men,50-54,12:48:03,OCC
1228,1229,Hai RUI,China,Women,35-39,12:48:18,OCC
1229,1230,Siti Salimah ZAINAL ABIDIN,Malaysia,Women,40-44,12:48:42,OCC
1230,1231,Yifan GAO,China,Women,35-39,12:49:44,OCC
1231,1232,Kanjana TUSSANAIPITUKKUL,Thailand,Women,35-39,12:50:08,OCC
1232,1233,Valérie LABOUREUR,Belgium,Women,45-49,12:50:30,OCC
1233,1234,Anonymous,Denmark,Men,45-49,12:50:31,OCC
1234,1234,Marina HIERNAUX,Belgium,Women,50-54,12:50:31,OCC
1235,1236,Daniel PILONI,Argentina,Men,20-34,12:51:18,OCC
1236,1237,Praw MANEERAT,Thailand,Women,35-39,12:51:31,OCC
1237,1238,Jens HENOCH,Germany,Men,50-54,12:52:49,OCC
1238,1239,María Del Carmen MONTES SEQUEN,Guatemala,Women,35-39,12:52:55,OCC
1239,1240,Marie MEYER,France,Women,20-34,12:54:03,OCC
1240,1241,Steve REED,United Kingdom,Men,45-49,12:55:17,OCC
1241,1242,Tarik ZOUHAIR,France,Men,45-49,12:55:41,OCC
