,rank,names,nationality,gender,age_category,time,race
518,519,Corentin PETRILLI,France,Men,20-34,02:56:10,ETC
519,520,Laurent CHAMPAGNE,France,Men,50-54,02:56:12,ETC
520,521,Samuele TREZZANI,Italy,Men,20-34,02:56:15,ETC
521,522,Maria José GARCÍA GONZÁLEZ,Spain,Women,40-44,02:56:19,ETC
522,523,Francis CHEN,France,Men,20-34,02:56:24,ETC
523,524,Gwendoline HOPPENKAMPS,France,Women,20-34,02:56:28,ETC
524,525,Alexandre MERLIER,France,Men,45-49,02:56:43,ETC
525,526,Gena SÄNGER,Germany,Women,20-34,02:56:46,ETC
526,527,Arnaud COLIN,France,Men,20-34,02:56:50,ETC
527,528,Gunnar BARBER,Germany,Men,60-64,02:56:51,ETC
528,529,Jean Pierre STORCK,France,Men,35-39,02:57:00,ETC
529,530,Rachel PETERSON,United States of america,Women,20-34,02:57:03,ETC
530,531,Manuela ECHILLEY,France,Women,50-54,02:57:10,ETC
531,532,Benoit DURAND,France,Men,35-39,02:57:14,ETC
532,533,Frédéric BONVALLET,France,Men,55-59,02:57:16,ETC
533,534,Audrey BRETON,France,Women,35-39,02:57:17,ETC
534,535,Adrien BOUDINOT,France,Men,35-39,02:57:22,ETC
535,536,Anita MAIR,Austria,Women,50-54,02:57:26,ETC
536,537,Pau PASSOLAS NADAL,Spain,Men,20-34,02:57:31,ETC
537,538,Benjamin SAJOUX,France,Men,45-49,02:57:34,ETC
538,539,Victoria BOYD,Australia,Women,60-64,02:57:51,ETC
539,540,Kelly COPIN,France,Women,20-34,02:57:52,ETC
540,541,Adriana ROMO,Mexico,Women,50-54,02:57:56,ETC
541,541,Clément GERVAIS PEL,France,Men,20-34,02:57:56,ETC
542,543,Camille MONCHALIN,France,Women,20-34,02:58:00,ETC
543,544,Nicolas PEYRONNET,France,Men,45-49,02:58:04,ETC
544,545,Romain CROZE,France,Men,20-34,02:58:05,ETC
545,546,Mathieu LEBLANC,France,Men,20-34,02:58:11,ETC
546,547,Pierre BLOND,France,Men,20-34,02:58:13,ETC
547,548,Sébastien HENRIET,France,Men,50-54,02:58:14,ETC
548,549,Coline PLÉ,France,Women,20-34,02:58:20,ETC
549,549,Ariane BRODIER,France,Women,45-49,02:58:20,ETC
550,551,Lorène LAMAZIERE,France,Women,20-34,02:58:27,ETC
551,552,Clément GAUTIER,France,Men,20-34,02:58:29,ETC
552,553,Elke BARBER,Germany,Women,60-64,02:58:35,ETC
553,554,Carminda DE SA BOBEDA,France,Women,40-44,02:58:46,ETC
554,555,Roisin LONG,Ireland,Women,20-34,02:58:55,ETC
555,556,Louis TOURAT,France,Men,20-34,02:58:58,ETC
556,557,Gianpaolo FONTANA,Italy,Men,55-59,02:59:01,ETC
557,557,Neil KEARNEY,France,Men,20-34,02:59:01,ETC
558,559,Thomas WORKMAN,United Kingdom,Men,20-34,02:59:15,ETC
559,560,Jochen HASENMAIER,Germany,Men,50-54,02:59:22,ETC
560,561,Theodoric LE DENMAT,France,Men,20-34,02:59:30,ETC
561,562,Alexia LOUBIGNAC MORI,France,Women,35-39,02:59:43,ETC
562,562,Evan BROC,France,Men,20-34,02:59:43,ETC
563,564,Nicolas AUDRENO,France,Men,35-39,02:59:49,ETC
564,565,Valentin BEAUCOURT,France,Men,20-34,02:59:52,ETC
565,566,Antoine D HUART,Switzerland,Men,20-34,02:59:55,ETC
566,566,Pierre Adrien RANDOT,France,Men,20-34,02:59:55,ETC
567,568,Guillaume SCHULER,France,Men,20-34,02:59:58,ETC
568,569,Léa AUDES,France,Women,20-34,03:00:00,ETC
569,569,Jean-Maxime TEYSSIE,France,Men,35-39,03:00:00,ETC
570,571,Julien TROLLET,France,Men,40-44,03:00:09,ETC
571,572,Marcin NOWACZYK,Poland,Men,50-54,03:00:11,ETC
572,573,Camille LEFER,France,Women,20-34,03:00:12,ETC
573,574,Noé ROLANDO,France,Men,20-34,03:00:24,ETC
574,575,Charles MALICK,France,Men,20-34,03:00:45,ETC
575,576,Vincent CARRIE,France,Men,50-54,03:01:01,ETC
576,577,Louise FOHANNO,France,Women,20-34,03:01:03,ETC
577,578,Martin DEVICTOR,France,Men,50-54,03:01:07,ETC
578,579,Vianney BLOT,France,Men,20-34,03:01:11,ETC
579,580,Océane DESPLANDS,France,Women,20-34,03:01:13,ETC
580,581,Audrey LARHANT,France,Women,45-49,03:01:20,ETC
581,581,Gilles BOUVINET,France,Men,65-69,03:01:20,ETC
582,583,Magdalena RYBSKA,Poland,Women,20-34,03:01:28,ETC
583,584,Frederic FACCA,France,Men,50-54,03:01:31,ETC
584,585,Emeline BLANC,France,Women,20-34,03:01:34,ETC
585,586,Ed BOORN,United Kingdom,Men,20-34,03:01:39,ETC
586,587,Stephane BOSSE,France,Men,45-49,03:01:40,ETC
587,588,Camille BURNIER,Switzerland,Women,20-34,03:01:49,ETC
588,589,Franck LEFEBVRE,France,Men,45-49,03:01:50,ETC
589,590,Margaux JARRIER,France,Women,20-34,03:01:52,ETC
590,591,Jörg SCHELLER,Switzerland,Men,45-49,03:01:53,ETC
591,592,Judit FIGUEROLA PORCAR,Spain,Women,45-49,03:01:55,ETC
592,593,Thierry VERSPECHT,Belgium,Men,60-64,03:01:56,ETC
593,594,Giovanni SPINELLA,Italy,Men,65-69,03:02:02,ETC
594,595,Olivier GUILLERME,France,Men,50-54,03:02:05,ETC
595,596,Celine DAVIET,France,Women,45-49,03:02:09,ETC
596,597,Pedro COELHO,Portugal,Men,40-44,03:02:28,ETC
597,598,Etienne GERMAIN MALAS,France,Men,20-34,03:02:30,ETC
598,599,Johan LOTH,France,Men,20-34,03:02:36,ETC
599,600,Célia WINKLER,France,Women,20-34,03:02:37,ETC
600,601,Daniel KARABELNIK,Neutral Athlete,Men,20-34,03:03:03,ETC
601,601,Margaux FOLTYN,France,Women,20-34,03:03:03,ETC
602,603,Sandra RENET GUINET,France,Women,20-34,03:03:06,ETC
603,604,Jeanne ROY,Canada,Women,55-59,03:03:10,ETC
604,605,François-Guillaume VALLOIS,France,Men,20-34,03:03:14,ETC
605,606,Ludmila IANZER JARDIM LUCAS,Brazil,Women,35-39,03:03:21,ETC
606,607,Marc CAPBERN,France,Men,20-34,03:03:38,ETC
607,608,Anonymous,France,Men,55-59,03:03:45,ETC
608,608,Tristan GERAUD,France,Men,20-34,03:03:45,ETC
609,610,Raphaël SAULAY,France,Men,40-44,03:03:48,ETC
610,611,Arthur ROZÉ,France,Men,20-34,03:04:14,ETC
611,611,Flavien LECOINQUE,France,Men,20-34,03:04:14,ETC
612,613,Martine CHOLLET,France,Women,70-74,03:04:29,ETC
613,614,Selma ARNDT,Germany,Women,20-34,03:04:53,ETC
614,615,Antoine BOCHE,France,Men,20-34,03:04:59,ETC
615,615,Marie BOISSELIER,France,Women,20-34,03:04:59,ETC
616,617,Stéphane DE WIT,Belgium,Men,40-44,03:05:01,ETC
617,618,Marianne LAOUENAN,France,Women,20-34,03:05:13,ETC
618,619,Sandra BRAIDA,France,Women,45-49,03:05:31,ETC
619,620,Coralie GREMILLIET,France,Women,35-39,03:05:36,ETC
620,621,Barbara MESQUITA,Brazil,Women,45-49,03:05:40,ETC
621,622,Bozena WILMAN,Poland,Women,50-54,03:05:54,ETC
622,623,Chloé DAMBRUNE,France,Women,20-34,03:05:56,ETC
623,624,Marie DESDEVISES,France,Women,20-34,03:05:58,ETC
624,625,Arnaud SABLIERE,France,Men,20-34,03:06:15,ETC
625,626,Lucie LECLANCHER,France,Women,20-34,03:06:45,ETC
626,627,Elodie CHENU,France,Women,40-44,03:06:51,ETC
627,627,Adrien MAGNIER,France,Men,35-39,03:06:51,ETC
628,629,Eduard MATARÓ,Spain,Men,20-34,03:06:54,ETC
629,630,Ruocheng TONG,China,Men,35-39,03:07:03,ETC
630,631,Isak HOLMGÅRD,Sweden,Men,20-34,03:07:08,ETC
631,632,Maxime PROUST,France,Men,20-34,03:07:29,ETC
632,633,Anonymous,France,Men,20-34,03:07:38,ETC
633,634,Remy SENTUC,France,Men,40-44,03:07:42,ETC
634,635,Alex CASTELLANOS,United States of america,Men,50-54,03:07:51,ETC
635,636,Pauline GRIT,France,Women,20-34,03:07:54,ETC
636,637,Marie-Clémence VALLIER,France,Women,35-39,03:07:56,ETC
637,638,Cristina STEFAN,South Africa,Women,35-39,03:08:25,ETC
638,639,Antoine SOUSTRE,France,Men,40-44,03:08:37,ETC
639,640,Alexandre VARENNE,France,Men,20-34,03:08:40,ETC
640,641,Henry CREAK,United Kingdom,Men,20-34,03:08:42,ETC
641,642,John BROUMAULT,France,Men,20-34,03:08:52,ETC
642,643,Hugo CAUQUIL,France,Men,20-34,03:08:57,ETC
643,644,Betsy CREAK,United Kingdom,Women,20-34,03:09:01,ETC
644,645,Laetitia BOYER,France,Women,35-39,03:09:03,ETC
645,646,Grégoire MORON,France,Men,20-34,03:09:04,ETC
646,647,Inès DUPUY,France,Women,20-34,03:09:25,ETC
647,648,Clement ROBERT,France,Men,20-34,03:09:38,ETC
648,649,Laetitia GIRAUD,France,Women,45-49,03:09:41,ETC
649,650,Delphine BRONNER,France,Women,35-39,03:10:01,ETC
650,651,Fiona JOSSET,France,Women,20-34,03:10:09,ETC
651,652,Floriane GOUDESEUNE,Belgium,Women,35-39,03:10:16,ETC
652,653,Alexane PERILLAT,France,Women,35-39,03:10:24,ETC
653,654,Emma GOMEZ,France,Women,20-34,03:10:29,ETC
654,655,Toma BRUYERE,France,Men,20-34,03:10:30,ETC
655,656,Anonymous,France,Men,45-49,03:10:37,ETC
656,657,Leelou GAYE,France,Women,20-34,03:10:38,ETC
657,657,Tomy FAVRETTO,France,Men,20-34,03:10:38,ETC
658,659,Inho HWANG,South Korea,Men,35-39,03:10:42,ETC
659,660,Alexandre DURANDEU,France,Men,20-34,03:10:49,ETC
660,661,Morgane LARDET,France,Women,20-34,03:10:53,ETC
661,662,Mélanie CHOUFANI,France,Women,35-39,03:11:01,ETC
662,663,Keith-Birger TEUBNER,Germany,Men,55-59,03:11:07,ETC
663,664,Philippe TASSIN,France,Men,55-59,03:11:15,ETC
664,665,Masami KAWANISHI,Japan,Women,40-44,03:11:16,ETC
665,666,Yingjie LI,China,Men,20-34,03:11:26,ETC
666,667,Stéphane POUSSARDIN,France,Men,50-54,03:11:39,ETC
667,668,Fanny GREKAS,France,Women,35-39,03:11:42,ETC
668,669,Sabrina CRETIN,France,Women,40-44,03:11:47,ETC
669,670,Gregory PREVOST,France,Men,40-44,03:11:48,ETC
670,671,Carolina PERALTA,Argentina,Women,35-39,03:11:50,ETC
671,672,Justin HARBS,Germany,Men,20-34,03:12:10,ETC
672,672,Linn ANDERSSON,Sweden,Women,35-39,03:12:10,ETC
673,674,Laurie ROUSSEAU,France,Women,20-34,03:12:11,ETC
674,675,Dong MAO,China,Men,35-39,03:12:29,ETC
675,676,Tiphanie FERNANDEZ,France,Women,20-34,03:12:30,ETC
676,677,Marie-Anne MOREAU,France,Women,20-34,03:12:46,ETC
677,678,Tina BARBER,Germany,Women,35-39,03:12:55,ETC
678,679,Silvia SANCHO,Spain,Women,45-49,03:13:15,ETC
679,680,Coralie RIQUELME,France,Women,20-34,03:13:16,ETC
680,681,Elodie CHARLES,France,Women,20-34,03:13:18,ETC
681,682,Phillip Jw GRAHAM,United Kingdom,Men,40-44,03:13:22,ETC
682,683,Delphine HERZOG,France,Women,40-44,03:13:24,ETC
683,684,Léa JUNG,France,Women,20-34,03:13:25,ETC
684,685,Amy HILLER,Australia,Women,40-44,03:13:38,ETC
685,686,Ilona CRACOWSKI,France,Women,20-34,03:13:42,ETC
686,687,Martin GOLETTO,France,Men,20-34,03:13:48,ETC
687,688,Yoann VIVIER,France,Men,40-44,03:13:58,ETC
688,689,Weiyu ZHENG,China,Women,20-34,03:14:05,ETC
689,690,Jean-Yves CAMOUS,France,Men,65-69,03:14:17,ETC
690,691,Pierre GODART,France,Men,55-59,03:14:22,ETC
691,692,Rachel SHANE,Israel,Women,20-34,03:14:25,ETC
692,693,Yifan ZHANG,China,Women,35-39,03:14:26,ETC
693,694,Maxime MONZON,France,Men,35-39,03:14:36,ETC
694,694,Camille CHOMAZ,France,Women,35-39,03:14:36,ETC
695,696,Emma TARET,France,Women,20-34,03:14:37,ETC
696,697,Lasse Andersen HODNE,Norway,Men,50-54,03:14:41,ETC
697,698,Mathilde REMOUSSIN,France,Women,35-39,03:14:49,ETC
698,699,Sudatip PIPATTHAKORN,Thailand,Women,35-39,03:14:52,ETC
699,700,María Pilar BERNARDOS ALCALDE,Spain,Women,45-49,03:14:57,ETC
700,701,Victoria BISSCHOT,Belgium,Women,20-34,03:14:59,ETC
701,702,José Luis ARROYO,Spain,Men,40-44,03:15:00,ETC
702,703,Philippe HERBRETEAU,France,Men,60-64,03:15:23,ETC
703,704,Madison BORGHINI,United Kingdom,Women,20-34,03:15:27,ETC
704,705,Ksenia ARSENIEVA,France,Women,20-34,03:15:28,ETC
705,706,Athene GIESEN,Germany,Women,40-44,03:15:37,ETC
706,707,Elodie BASSO,France,Women,35-39,03:15:38,ETC
707,708,Anca DOMINTE,Romania,Women,20-34,03:15:46,ETC
708,709,Bertrand CORVAISIER,France,Men,40-44,03:16:34,ETC
709,710,Sandra PALOMINO GARCIA,Spain,Women,20-34,03:16:35,ETC
710,711,Chenhaoran YANG,China,Men,20-34,03:16:47,ETC
711,711,Luc CROMBEZ,France,Men,20-34,03:16:47,ETC
712,713,Katie ROSS,United Kingdom,Women,45-49,03:17:32,ETC
713,714,Monika ZEINER,Germany,Women,40-44,03:17:33,ETC
714,715,Maxime LAMBLET,France,Men,20-34,03:17:34,ETC
715,716,Todd GLIEDEN,United States of america,Men,55-59,03:18:01,ETC
716,717,Bjarne DJARLING,Denmark,Men,50-54,03:18:05,ETC
717,718,Louis DOYE,France,Men,20-34,03:18:11,ETC
718,718,Clément TACK,France,Men,20-34,03:18:11,ETC
719,720,Nicola KELLY,United Kingdom,Women,60-64,03:18:12,ETC
720,721,Jeanne SELO,France,Women,20-34,03:18:21,ETC
721,722,Bernardino VIVANCOS NICOLAS,Spain,Men,50-54,03:18:22,ETC
722,723,Georgiana BUNEA,Romania,Women,20-34,03:18:25,ETC
723,724,Kazushige KIYAMA,Japan,Men,70-74,03:18:40,ETC
724,725,Eric DE MONTALEMBERT,France,Men,50-54,03:18:42,ETC
725,726,Pauline BRONET,France,Women,20-34,03:18:45,ETC
726,727,Julie DARENGOSSE COUSTERE,France,Women,40-44,03:19:02,ETC
727,728,Julie POMMIER,France,Women,20-34,03:19:07,ETC
728,728,Luc VINCENT,France,Men,20-34,03:19:07,ETC
729,730,Marco GUERRA,France,Men,45-49,03:19:12,ETC
730,731,Daniel STANOESCU,Romania,Men,35-39,03:19:14,ETC
731,732,Anonymous,France,Women,20-34,03:19:18,ETC
732,733,Chris HAGESTAD,United States of america,Men,60-64,03:19:19,ETC
733,734,Dorine BONO-LOUBIÈRES,France,Women,20-34,03:19:24,ETC
734,735,Geraldine SILVAIN,France,Women,40-44,03:19:29,ETC
735,736,Holly HOLT,United Kingdom,Women,35-39,03:19:36,ETC
736,737,Marcin THIEL,Poland,Men,50-54,03:19:41,ETC
737,738,Adrien FAVRE VICTOIRE,France,Men,20-34,03:20:00,ETC
738,739,Salvatore ALAIMO,Italy,Men,20-34,03:20:02,ETC
739,740,Colin SHAW,United Kingdom,Men,55-59,03:20:08,ETC
740,741,Solène ABBRUZZESE,France,Women,20-34,03:20:12,ETC
741,742,Santiago PADILLA GONZALEZ,Mexico,Men,35-39,03:20:15,ETC
742,743,Alexandre LAMBOLEY,France,Men,20-34,03:20:19,ETC
743,744,Jean-Pierre LECLERC,France,Men,60-64,03:20:29,ETC
744,744,Aline LECLERC,France,Women,20-34,03:20:29,ETC
745,746,Benjamin FERREIRA,France,Men,40-44,03:20:30,ETC
746,747,Mengmeng ZHANG,China,Men,40-44,03:20:31,ETC
747,748,Ho Ming HUI,China,Men,45-49,03:20:32,ETC
748,749,Camille HELENON,France,Women,20-34,03:20:47,ETC
749,750,Mark ROMAINE,United Kingdom,Men,35-39,03:20:55,ETC
750,750,Quentin MAHISTRE,France,Men,20-34,03:20:55,ETC
751,752,Marc BARBEAU,France,Men,20-34,03:21:02,ETC
752,752,Mathéo GARERI,France,Men,20-34,03:21:02,ETC
753,754,Doryan DI FAZIO,France,Men,20-34,03:21:10,ETC
754,755,Thomas BLONDEAU,France,Men,45-49,03:21:18,ETC
755,755,Adeline COCQUELET,France,Women,20-34,03:21:18,ETC
756,755,Sam HODGES,United Kingdom,Men,35-39,03:21:18,ETC
757,755,Lina BIVAINYTE,Lithuania,Women,35-39,03:21:18,ETC
758,759,Víctor FUERTES ZANON,Spain,Men,40-44,03:21:24,ETC
759,760,Marine LE LOUARNE,France,Women,20-34,03:21:27,ETC
760,761,Matt COX,United Kingdom,Men,20-34,03:21:41,ETC
761,762,Frauke NOHLEN,Germany,Women,40-44,03:21:47,ETC
762,762,Louis LEBON,France,Men,20-34,03:21:47,ETC
763,764,Eleonore BONNEAU,France,Women,20-34,03:21:51,ETC
764,765,Léa TYRODE,France,Women,20-34,03:21:54,ETC
765,766,Shuk Yi TSE,"Hong Kong, China",Women,50-54,03:22:06,ETC
766,767,Lilian PATEL,France,Men,20-34,03:22:14,ETC
767,768,Pierre NICOT,France,Men,60-64,03:22:21,ETC
768,769,Inès BLANCHARD,France,Women,20-34,03:22:32,ETC
769,770,Eline WAJON,Netherlands,Women,20-34,03:22:36,ETC
770,771,Ines DE CASTEJA,France,Women,35-39,03:22:56,ETC
771,772,Olivier RIPOLL,France,Men,45-49,03:22:57,ETC
772,773,Elena PRADOVERA,Italy,Women,35-39,03:22:59,ETC
773,774,Olivier HERBRETEAU,France,Men,60-64,03:23:06,ETC
774,775,Kaniedska ECHETTO,Venezuela,Women,20-34,03:23:20,ETC
